sample_index,question_id,model,CB_SAS
1,2391,gpt-4o,0.03441593050956726
2,2660,gpt-4o,0.0634598433971405
3,1360,gpt-4o,0.06931574642658234
4,4733,gpt-4o,-0.09604029357433319
5,3320,gpt-4o,-0.09878236055374146
6,6154,gpt-4o,0.023081421852111816
7,6942,gpt-4o,0.024917036294937134
8,1588,gpt-4o,0.12118953466415405
9,6699,gpt-4o,0.04352067410945892
10,6334,gpt-4o,-0.004760861396789551
11,2626,gpt-4o,0.015760108828544617
12,11018,gpt-4o,0.11540579795837402
13,7380,gpt-4o,0.17593982815742493
14,7423,gpt-4o,0.20848238468170166
15,7682,gpt-4o,-0.04513022303581238
16,1553,gpt-4o,0.05642387270927429
17,1873,gpt-4o,0.009018510580062866
18,4801,gpt-4o,-0.019972339272499084
19,1788,gpt-4o,-0.15541227161884308
20,6664,gpt-4o,-0.030396699905395508
21,1590,gpt-4o,-0.02010244131088257
22,6491,gpt-4o,-0.01620301604270935
23,7572,gpt-4o,0.04194191098213196
24,4982,gpt-4o,0.05606794357299805
25,3078,gpt-4o,-0.010034531354904175
26,6589,gpt-4o,0.03542280197143555
27,11164,gpt-4o,0.2113218456506729
28,7236,gpt-4o,-0.06125080585479736
29,4791,gpt-4o,0.07472717761993408
30,3076,gpt-4o,0.06106114387512207
31,1870,gpt-4o,-0.010132059454917908
32,3183,gpt-4o,-0.05982005596160889
33,2091,gpt-4o,-0.03451220691204071
34,1427,gpt-4o,0.01202845573425293
35,6552,gpt-4o,0.11713643372058868
36,6592,gpt-4o,0.10029497742652893
37,4810,gpt-4o,-0.09171903133392334
38,2488,gpt-4o,-0.008242964744567871
39,1423,gpt-4o,0.021497532725334167
40,3438,gpt-4o,0.0028985142707824707
41,6627,gpt-4o,-0.007044315338134766
42,2499,gpt-4o,-0.041579365730285645
43,5036,gpt-4o,-0.054330289363861084
44,4892,gpt-4o,-0.1503259837627411
45,7491,gpt-4o,0.024352699518203735
46,6451,gpt-4o,0.06797650456428528
47,7614,gpt-4o,-0.047767460346221924
48,1830,gpt-4o,-0.03248456120491028
49,6262,gpt-4o,0.03117278218269348
50,6792,gpt-4o,0.03732192516326904
51,10856,gpt-4o,0.061503857374191284
52,2261,gpt-4o,0.12492978572845459
53,4762,gpt-4o,-0.06477433443069458
54,10852,gpt-4o,-0.01929640769958496
55,7340,gpt-4o,-0.060139745473861694
56,1528,gpt-4o,0.13168391585350037
57,2715,gpt-4o,-0.029807358980178833
58,2920,gpt-4o,-0.0338580459356308
59,10976,gpt-4o,0.0916694700717926
60,6743,gpt-4o,0.13694673776626587
61,904,gpt-4o,0.07467252016067505
62,7057,gpt-4o,-0.007058128714561462
63,7042,gpt-4o,0.05911657214164734
64,7626,gpt-4o,-0.08447045087814331
65,1511,gpt-4o,0.07085037231445312
66,7166,gpt-4o,-0.19395096600055695
67,2962,gpt-4o,0.011416077613830566
68,7679,gpt-4o,-0.05936837196350098
69,7448,gpt-4o,0.08232355117797852
70,11066,gpt-4o,0.0194302499294281
71,7138,gpt-4o,0.060398608446121216
72,4991,gpt-4o,-0.09728331863880157
73,4823,gpt-4o,-0.021798700094223022
74,2519,gpt-4o,0.07816633582115173
75,7454,gpt-4o,0.07424312829971313
76,1522,gpt-4o,-0.006678521633148193
77,2879,gpt-4o,-0.08279624581336975
78,4866,gpt-4o,-0.07745006680488586
79,1575,gpt-4o,0.04003840684890747
80,10913,gpt-4o,0.0684434175491333
81,7405,gpt-4o,-0.06997518241405487
82,7107,gpt-4o,-0.1550121158361435
83,7559,gpt-4o,0.06925415992736816
84,973,gpt-4o,0.034680455923080444
85,6220,gpt-4o,0.015230625867843628
86,1314,gpt-4o,0.01066240668296814
87,1738,gpt-4o,0.0018011927604675293
88,11172,gpt-4o,0.07017397880554199
89,7596,gpt-4o,-0.002997487783432007
90,7202,gpt-4o,0.057128459215164185
91,6386,gpt-4o,-0.013835102319717407
92,5001,gpt-4o,-0.10477955639362335
93,6363,gpt-4o,0.21412979066371918
94,2228,gpt-4o,-0.006809532642364502
95,6900,gpt-4o,-0.01967799663543701
96,5042,gpt-4o,-0.014006882905960083
97,5027,gpt-4o,-0.08744189143180847
98,4931,gpt-4o,0.10479733347892761
99,1573,gpt-4o,0.0006883144378662109
100,7363,gpt-4o,-0.06216415762901306
101,1878,gpt-4o,0.1058729887008667
102,1992,gpt-4o,0.20479533076286316
103,1065,gpt-4o,0.07699477672576904
104,1404,gpt-4o,0.01123616099357605
105,2819,gpt-4o,0.040974050760269165
106,6339,gpt-4o,-0.02260187268257141
107,10875,gpt-4o,0.09050819277763367
108,1249,gpt-4o,0.07606068253517151
109,6344,gpt-4o,-0.05549637973308563
110,1229,gpt-4o,0.1562817394733429
111,7627,gpt-4o,-0.08050213754177094
112,905,gpt-4o,-0.04697337746620178
113,10881,gpt-4o,-0.07213124632835388
114,6994,gpt-4o,0.10557937622070312
115,4914,gpt-4o,-0.024339616298675537
116,6134,gpt-4o,-0.008456289768218994
117,7287,gpt-4o,0.0644180178642273
118,10945,gpt-4o,0.07298114895820618
119,4773,gpt-4o,0.12574563920497894
120,11189,gpt-4o,-0.012630939483642578
121,2467,gpt-4o,0.08363670110702515
122,6682,gpt-4o,0.14405465126037598
123,2986,gpt-4o,0.08030450344085693
124,7524,gpt-4o,0.07168640196323395
125,11202,gpt-4o,0.0696527361869812
126,2429,gpt-4o,-0.051634132862091064
127,4886,gpt-4o,0.06527900695800781
128,6479,gpt-4o,0.0821302980184555
129,3105,gpt-4o,0.09978784620761871
130,1471,gpt-4o,0.09778013825416565
131,6729,gpt-4o,0.07488858699798584
132,10965,gpt-4o,0.09611517190933228
133,11228,gpt-4o,0.06282272934913635
134,1180,gpt-4o,-0.016188576817512512
135,3364,gpt-4o,-0.07943083345890045
136,4727,gpt-4o,-0.023477673530578613
137,2899,gpt-4o,0.1121017336845398
138,2953,gpt-4o,0.054147541522979736
139,4859,gpt-4o,-0.06371645629405975
140,6467,gpt-4o,0.0670756995677948
141,7163,gpt-4o,-0.005963489413261414
142,7536,gpt-4o,0.11116379499435425
143,1809,gpt-4o,0.12757253646850586
144,7109,gpt-4o,-0.07300896942615509
145,3421,gpt-4o,-0.13204257190227509
146,964,gpt-4o,0.010576888918876648
147,6322,gpt-4o,-0.08214011788368225
148,7298,gpt-4o,0.0020496249198913574
149,6207,gpt-4o,0.013319417834281921
150,3131,gpt-4o,-0.038252562284469604
151,1601,gpt-4o,-0.007427126169204712
152,11125,gpt-4o,0.0353432297706604
153,7336,gpt-4o,0.08447211980819702
154,10880,gpt-4o,-0.0409758985042572
155,1425,gpt-4o,0.023441076278686523
156,10978,gpt-4o,0.1383432149887085
157,4703,gpt-4o,0.1301291137933731
158,1010,gpt-4o,0.02175578474998474
159,3165,gpt-4o,-0.06724968552589417
160,2783,gpt-4o,-0.02954752743244171
161,1521,gpt-4o,0.08008766174316406
162,4856,gpt-4o,-0.06455256044864655
163,4778,gpt-4o,-0.05845277011394501
164,3369,gpt-4o,0.014859765768051147
165,2472,gpt-4o,-0.06937000155448914
166,6097,gpt-4o,0.08995908498764038
167,3174,gpt-4o,0.09349122643470764
168,6550,gpt-4o,0.03963500261306763
169,2865,gpt-4o,-0.00927668809890747
170,6409,gpt-4o,-0.04258394241333008
171,877,gpt-4o,0.02447718381881714
172,6520,gpt-4o,-0.05659611523151398
173,6330,gpt-4o,0.015340864658355713
174,1333,gpt-4o,0.06668606400489807
175,6314,gpt-4o,-0.0237894207239151
176,2842,gpt-4o,0.03727123141288757
177,10973,gpt-4o,-0.031057626008987427
178,6128,gpt-4o,-0.012988537549972534
179,6593,gpt-4o,-0.15136557817459106
180,3240,gpt-4o,0.03381207585334778
181,7396,gpt-4o,-0.004304707050323486
182,4919,gpt-4o,-0.0053657591342926025
183,7612,gpt-4o,0.004076480865478516
184,7449,gpt-4o,-0.002802610397338867
185,6540,gpt-4o,-0.03844130039215088
186,10811,gpt-4o,-0.06539294123649597
187,4712,gpt-4o,0.16610868275165558
188,11100,gpt-4o,0.07068544626235962
189,7070,gpt-4o,0.05753585696220398
190,950,gpt-4o,-0.00658203661441803
191,6434,gpt-4o,-0.16209620237350464
192,2361,gpt-4o,0.012738466262817383
193,7408,gpt-4o,-0.020352870225906372
194,7285,gpt-4o,0.05253449082374573
195,963,gpt-4o,0.07585161924362183
196,4857,gpt-4o,-0.06980139017105103
197,2906,gpt-4o,-0.0029265880584716797
198,3452,gpt-4o,-0.037956416606903076
199,6481,gpt-4o,0.03357914090156555
200,11024,gpt-4o,0.10155567526817322
201,1888,gpt-4o,-0.07789644598960876
